reaction_id,reactants_smiles,products_smiles,reaction_smiles,conditions,source_file
ord-c63ae2b686b74eaaae695094af43fe92,C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CCOC(=O)C1=CC2=C(O1)C=CC=C2Br.C1CN(CCN1)CC2=CC=CC=C2,CCOC(=O)C1=CC2=C(C=CC=C2O1)N3CCN(CC3)CC4=CC=CC=C4,C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CCOC(=O)C1=CC2=C(O1)C=CC=C2Br.C1CN(CCN1)CC2=CC=CC=C2>>CCOC(=O)C1=CC2=C(C=CC=C2O1)N3CCN(CC3)CC4=CC=CC=C4,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
ord-724091f002d04d2ea6bfe923f45ebf01,CC(C)(C)[O-].[K+].CC1=CC=CC=C1.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CCOC(=O)C1=CC2=C(O1)C=CC=C2Br.C1CN(CCN1)CC2=CC=CC=C2,CCOC(=O)C1=CC2=C(C=CC=C2O1)N3CCN(CC3)CC4=CC=CC=C4,CC(C)(C)[O-].[K+].CC1=CC=CC=C1.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CCOC(=O)C1=CC2=C(O1)C=CC=C2Br.C1CN(CCN1)CC2=CC=CC=C2>>CCOC(=O)C1=CC2=C(C=CC=C2O1)N3CCN(CC3)CC4=CC=CC=C4,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
ord-c0ea6369f2d042108e16225bf99070cf,C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CCOC(=O)C1=CC2=C(O1)C=CC=C2Br.C1CN(CCN1)CC2=CC=CC=C2,CCOC(=O)C1=CC2=C(C=CC=C2O1)N3CCN(CC3)CC4=CC=CC=C4,C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CCOC(=O)C1=CC2=C(O1)C=CC=C2Br.C1CN(CCN1)CC2=CC=CC=C2>>CCOC(=O)C1=CC2=C(C=CC=C2O1)N3CCN(CC3)CC4=CC=CC=C4,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
ord-00b95f6f20354bb6923efd18c2b3c116,CC(C)(C)[O-].[Na+].CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.CC(=O)O.CC(=O)O.[Pd].C1=CC=NC(=C1)Br.C1CNCCC12OCCO2,C1CN(CCC12OCCO2)C3=CC=CC=N3,CC(C)(C)[O-].[Na+].CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.CC(=O)O.CC(=O)O.[Pd].C1=CC=NC(=C1)Br.C1CNCCC12OCCO2>>C1CN(CCC12OCCO2)C3=CC=CC=N3,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
ord-07751cbdbcad4c89bdfeeea3a04ddb39,C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C.CC(=O)O.CC(=O)O.[Pd].C1=CN=C(N=C1Cl)Cl.C1=CC(=CC(=C1)S(=O)(=O)N)N,C1=CC(=CC(=C1)S(=O)(=O)N)NC2=NC=CC(=N2)Cl,C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C.CC(=O)O.CC(=O)O.[Pd].C1=CN=C(N=C1Cl)Cl.C1=CC(=CC(=C1)S(=O)(=O)N)N>>C1=CC(=CC(=C1)S(=O)(=O)N)NC2=NC=CC(=N2)Cl,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
ord-2f71fc02b38b41c2a59bfdd4b865c8b3,CC(C)(C)[O-].[Na+].C1COCCO1.CN(C)C1=CC=CC=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CCOC(=O)C1=CC(=CN=C1)Br.C1COCCN1,CCOC(=O)C1=CC(=CN=C1)N2CCOCC2,CC(C)(C)[O-].[Na+].C1COCCO1.CN(C)C1=CC=CC=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CCOC(=O)C1=CC(=CN=C1)Br.C1COCCN1>>CCOC(=O)C1=CC(=CN=C1)N2CCOCC2,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
ord-bddc6734b7ce4143a8ed8f8385933b6e,CC(C)(C)[O-].[Na+].C1COCCO1.CN(C)C1=CC=CC=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CCOC(=O)C1=CC(=CN=C1)Br.C1COCCN1,CCOC(=O)C1=CC(=CN=C1)N2CCOCC2,CC(C)(C)[O-].[Na+].C1COCCO1.CN(C)C1=CC=CC=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CCOC(=O)C1=CC(=CN=C1)Br.C1COCCN1>>CCOC(=O)C1=CC(=CN=C1)N2CCOCC2,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
ord-89890e81ad5d4e12a61d2ee591f39e46,C(=O)([O-])[O-].[Cs+].[Cs+].CC1=CC=CC=C1.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8.CC(=O)O.CC(=O)O.[Pd].CC(C)(C)OC(=O)C1=CC(=CN=C1)Br.C1COCCN1,CC(C)(C)OC(=O)C1=CC(=CN=C1)N2CCOCC2,C(=O)([O-])[O-].[Cs+].[Cs+].CC1=CC=CC=C1.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8.CC(=O)O.CC(=O)O.[Pd].CC(C)(C)OC(=O)C1=CC(=CN=C1)Br.C1COCCN1>>CC(C)(C)OC(=O)C1=CC(=CN=C1)N2CCOCC2,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
ord-870573203c2744a5906bd6a9d998822e,C(=O)([O-])[O-].[Cs+].[Cs+].CC1=CC=CC=C1.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8.CC(=O)O.CC(=O)O.[Pd].C1=CC2=C(C=C1Br)NN=C2.C1=CC=C(C(=C1)N)Cl,C1=CC=C(C(=C1)NC2=CC3=C(C=C2)C=NN3)Cl,C(=O)([O-])[O-].[Cs+].[Cs+].CC1=CC=CC=C1.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8.CC(=O)O.CC(=O)O.[Pd].C1=CC2=C(C=C1Br)NN=C2.C1=CC=C(C(=C1)N)Cl>>C1=CC=C(C(=C1)NC2=CC3=C(C=C2)C=NN3)Cl,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
ord-e759108cf109420c9b96a1936ea5e56d,C(=O)([O-])[O-].[Cs+].[Cs+].COCCOC.C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4.CC(=O)O.CC(=O)O.[Pd].CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3.CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC,CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)C5=CC=CC=C5)C)C=C3)OC,C(=O)([O-])[O-].[Cs+].[Cs+].COCCOC.C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4.CC(=O)O.CC(=O)O.[Pd].CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3.CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC>>CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)C5=CC=CC=C5)C)C=C3)OC,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
ord-8e16338c39aa405d9e6607bfaa8d820e,[Li+].C[Si](C)(C)[N-][Si](C)(C)C.CC1=CC=CC=C1.CC(C)CN1CCN2CCN(P1N(CC2)CC(C)C)CC(C)C.CC(=O)O.CC(=O)O.[Pd].C1=CC(=CC=C1O)Br.CN1CCNCC1,CN1CCN(CC1)C2=CC=C(C=C2)O,[Li+].C[Si](C)(C)[N-][Si](C)(C)C.CC1=CC=CC=C1.CC(C)CN1CCN2CCN(P1N(CC2)CC(C)C)CC(C)C.CC(=O)O.CC(=O)O.[Pd].C1=CC(=CC=C1O)Br.CN1CCNCC1>>CN1CCN(CC1)C2=CC=C(C=C2)O,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
ord-e129276e5a184223a5b0f70438a49a49,C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C.CC(=O)O.CC(=O)O.[Pd].C1OC2=C(C(=CN=C2O1)Cl)N.C1CC1C(=O)NC2=NC=CC(=C2)Cl,C1CC1C(=O)NC2=NC=CC(=C2)NC3=C4C(=NC=C3Cl)OCO4,C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C.CC(=O)O.CC(=O)O.[Pd].C1OC2=C(C(=CN=C2O1)Cl)N.C1CC1C(=O)NC2=NC=CC(=C2)Cl>>C1CC1C(=O)NC2=NC=CC(=C2)NC3=C4C(=NC=C3Cl)OCO4,,ord-data\data\00\ord_dataset-00005539a1e04c809a9a78647bea649c.pb.gz
